start,end,text,translation
81.2,86.2,A tram is just a train that goes on the road in the city.,"Tramvay, şehirde yola çıkan bir trendir."
86.2,94.2,I really enjoyed wandering through the old town and checking out all the beautiful historic buildings.,Eski kasabada dolaşmaktan ve tüm güzel tarihi binaları kontrol etmekten gerçekten zevk aldım.
94.2,99.2,One of my favorite things about Bratislava was definitely the architecture.,Bratislava ile ilgili en sevdiğim şeylerden biri kesinlikle mimariydi.
99.2,107.2,"At 11, I felt like a coffee, so I decided to hang out at a cafe for a bit.",11 yaşındayken kahve içmek istedim. Bir süre kafede takılmaya karar verdim.
107.2,116.2,"There was a large selection of coffee and tea at this cafe, so I spent some time browsing through the menu.","Bu kafede bol miktarda kahve ve çay vardı, ben de menüye göz gezdirdim."
116.2,125.2,"You could say browsing, but if you want to sound even more natural, you could say I was flipping through the menu.",Bakmak diyebilirsiniz ama daha doğal görünmek isterseniz menüyü karıştırdığımı söyleyebilirsiniz.
125.2,131.2,"After I finished my coffee, I decided to explore the castle.",Kahvemi bitirdikten sonra kaleyi keşfetmeye karar verdim.
131.2,137.2,"Now the castle was on a hill, so I had to walk up a little bit and get some exercise.","Kale bir tepedeydi, ben de biraz yukarı çıkıp egzersiz yapmak zorunda kaldım."
137.2,144.2,"To get into the castle, I had to purchase a ticket which cost me 14 euros.",Kaleye girebilmek için 14 avroya mal olan bir bilet almak zorunda kaldım.
144.2,153.2,"In the castle, there was a museum where I discovered more about the history of the city and of Slovakia.","Kalede, şehrin ve Slovakya'nın tarihi hakkında daha çok şey keşfettiğim bir müze vardı."
153.2,157.2,"In the castle museum, I saw a lot of old artifacts.",Kale müzesinde birçok eski eser gördüm.
157.2,163.2,An artifact is just an object from the past or from a long time ago.,Bir obje sadece geçmişten ya da uzun zaman öncesine ait bir nesnedir.
163.2,169.2,There was also an art exhibit which contained a lot of paintings.,Ayrıca birçok resim içeren bir sanat sergisi de vardı.
169.2,177.2,"An exhibit is just a collection of something, maybe paintings or artifacts in a museum.","Sergi sadece bir şeyin koleksiyonudur, belki bir müzedeki tablolar ya da eserler."
177.2,182.2,"Outside of the castle, I saw a place selling souvenirs.",Kalenin dışında hediyelik eşya satan bir yer gördüm.
182.2,190.2,"A souvenir is something you take home from vacation, like a fridge, magnet, or maybe a postcard.","Hatıra, tatilden eve götürdüğün bir şeydir. Buzdolabı, mıknatıs ya da kartpostal gibi."
190.2,196.2,"When I travel, I don't normally buy souvenirs, so I didn't get anything today.","Seyahat ederken normalde hediyelik eşya almam, bu yüzden bugün bir şey almadım."
196.2,205.2,I was about to leave the castle and go back down into the city when I realized I had completely missed the castle gardens.,Kaleyi terk edip şehre geri dönmek üzereydim ki kale bahçelerini tamamen özlediğimi fark ettim.
205.2,211.2,So I went into the castle gardens to check them out and to take a stroll.,Ben de onları kontrol etmek ve gezmek için kale bahçelerine gittim.
211.2,216.2,"To take a stroll means to take a slow, relaxed walk.",Gezintiye çıkmak yavaş ve rahat bir yürüyüş yapmak demektir.
216.2,224.2,"This is a great word and native speakers use it all the time, so I would definitely recommend adding it to your vocabulary.",Bu harika bir kelime ve yerli konuşmacılar bunu her zaman kullanırlar. Bu yüzden kesinlikle kelime dağarcığınıza eklemenizi öneririm.
224.2,234.2,"The gardens were very peaceful and they were a great escape from the busy, bustling city.",Bahçeler çok huzurluydu ve kalabalık ve telaşlı şehirden büyük bir kaçıştı.
234.2,240.2,"The word bustling means very busy, very noisy, or very loud.","Böğürtme sözcüğü çok meşgul, çok gürültülü ya da çok sesli anlamına gelir."
240.2,251.2,"If you're finding this lesson useful, then make sure to leave a like and let me know in the comments what you think, what words are new to you, and what words you already knew.","Eğer bu dersi yararlı buluyorsanız, bunun gibi bir şeyi bırakıp, ne düşündüğünüzü, hangi kelimelerin sizin için yeni olduğunu ve zaten bildiğiniz kelimeleri bana bildirin."
251.2,266.2,"And if you want to improve your English with me this year, don't forget to subscribe to English at the ready here on YouTube and to click the link in the description below to learn more about how I can help you start speaking English fluently.","Ve eğer bu yıl benimle İngilizcenizi geliştirmek istiyorsanız, YouTube'da hazır olan İngilizce'ye abone olmayı unutmayın ve aşağıdaki tanımdaki linki tıklayarak İngilizce'yi akıcı bir şekilde konuşmaya başlamanıza nasıl yardım edebileceğimi öğrenin."
266.2,272.2,"With that said, let's get back into the video and learn some more phrases and vocabulary.","Bununla birlikte, videoya geri dönelim ve biraz daha deyim ve kelime dağarcığı öğrenelim."
272.2,279.2,"After I took my stroll, I was getting hungry, but first I needed to take in the view.",Gezintiye çıktıktan sonra acıkmaya başlamıştım ama önce manzarayı görmem gerekiyordu.
279.2,283.2,To take something in means to admire it.,Bir şeyi takdir etmek anlamına gelir.
283.2,290.2,"And in this case, the view was breathtaking and I could see far into the distance.",Bu durumda manzara nefes kesiciydi ve uzaklığı görebiliyordum.
290.2,296.2,"At this point, I was really hungry, so I decided to grab a bite to eat.","Bu noktada çok acıkmıştım, ben de bir şeyler yemeye karar verdim."
296.2,303.2,To grab a bite to eat is a really natural way of saying to go eat something.,"Bir şeyler atıştırmak, gidip bir şeyler yiyelim demenin doğal bir yoludur."
303.2,309.2,"I found a restaurant that was highly rated, which means it had good reviews.",Çok iyi değerlendirilmiş bir restoran buldum. Bu da iyi eleştiriler aldığı anlamına geliyor.
309.2,319.2,"Unfortunately, I did not have a reservation, but thankfully they accepted walk-ins, which means I didn't need a reservation,",Ne yazık ki rezervasyonum yoktu ama neyse ki girişleri kabul ettiler. Bu da rezervasyona ihtiyacım olmadığı anlamına geliyor.
319.2,322.2,and I could easily get a table.,Ve kolayca bir masa bulabilirim.
322.2,325.2,I took a look at the menu and decided to order.,Menüye baktım ve sipariş vermeye karar verdim.
325.2,334.2,"My meal was delicious, but if you want to sound even more advanced, you can say it was Ick squizzit.","Yemeğim çok lezzetliydi, ama daha da gelişmiş olmak istiyorsan, Ick Squizzit diyebilirsin."
334.2,336.2,Ick squizzit.,Ick squizzit.
336.2,344.2,"After lunch, I paid a visit to another famous attraction called Michael's Gate.",Yemekten sonra Michael's Gate adlı başka bir ünlü eğlenceye gittim.
344.2,350.2,"It's the only surviving city gate in Bratislava, and it dates from the year 1300.",Bratislava'da hayatta kalan tek şehir kapısıdır ve 1300 yılından kalmadır.
350.2,355.2,"Since this gate is so old, we could say it is historic.",Bu kapı çok eski olduğu için tarihi olduğunu söyleyebiliriz.
355.2,361.2,"It wasn't busy at all, so I didn't have to line up, and I could go in right away.","Hiç de yoğun değildi, bu yüzden sıraya girmek zorunda kalmadım ve hemen içeri girebildim."
361.2,371.2,"At first, I thought it might be a tourist trap, which means it's not worth it, or it's something just made for tourists.","İlk başta, bunun bir turist tuzağı olabileceğini düşündüm, bu da buna değmeyeceği anlamına geliyor, ya da turistler için yapılmış bir şey."
371.2,377.2,"But after climbing a lot of stairs and seeing the view, it was definitely worth it.",Ama bir sürü merdiven tırmanıp manzarayı gördükten sonra buna kesinlikle değerdi.
377.2,386.2,"As we learned before, I could also say that I took in the view, or that I admired the view.",Daha önce öğrendiğimiz gibi bu görüşü benimsediğimi ya da bu manzaraya hayran kaldığımı da söyleyebilirim.
386.2,396.2,"And since I could see the whole city, this was a 360-degree view, I could say it was a panorama.","Ve tüm şehri görebildiğime göre, bu 360 derecelik bir manzaraydı, bunun bir panorama olduğunu söyleyebilirim."
396.2,403.2,A panorama is a view of a large landscape or city from high above.,"Bir panorama, yukarıdan büyük bir manzara ya da şehrin görünümüdür."
403.2,413.2,"Oh, and of course, the day wasn't complete without taking a detour to another beautiful cafe and enjoying a coffee.","Ve tabii ki, başka bir güzel kafeye gidip kahvenin tadını çıkarmadan gün tamamlanmadı."
413.2,422.2,"This was probably one of the most beautiful cafes I've been to, and it was quite small, but it had a charming ambiance.","Bu muhtemelen gittiğim en güzel kafelerden biriydi ve oldukça küçüktü, ama büyüleyici bir ambiyansı vardı."
422.2,427.2,The ambiance of a place is the atmosphere or the vibe.,Bir yerin ambiyansı atmosfer ya da titreşimdir.
427.2,437.2,"The word vibe is a bit more informal, but it's still perfectly acceptable when you're talking to your friends or people you know well.",Titreşim kelimesi biraz daha gayriresmîdir ama arkadaşlarınızla ya da iyi tanıdığınız insanlarla konuşurken yine de son derece kabul edilebilirdir.
437.2,445.2,"After my second coffee of the day and a pretty tasty cake, I went back outside and I roamed around some more.",Günün ikinci kahvesi ve çok lezzetli bir pastadan sonra dışarı çıktım ve biraz daha dolaştım.
445.2,458.2,"To roam around is a great word, and it's a synonym of to wander or to explore or walk without having a real goal.",Etrafta dolaşmak harika bir kelimedir ve gerçek bir amaca sahip olmadan dolaşmak ya da keşfetmek ya da yürümek ile eş anlamlıdır.
458.2,467.2,"You're walking around freely without any purpose, and that's one of the things I like most about traveling and exploring new cities.",Hiçbir amacın olmadan serbestçe dolaşıyorsun ve bu seyahat etmenin ve yeni şehirleri keşfetmenin en sevdiğim yanlarından biri.
467.2,472.2,I had a great day because I could travel at my own pace.,Harika bir gün geçirdim çünkü kendi hızımla seyahat edebiliyordum.
472.2,480.2,To travel at your own pace means to have the freedom to travel as fast or as slow as you want.,"Kendi hızınızla seyahat etmek, istediğiniz kadar hızlı ya da yavaş seyahat etme özgürlüğüne sahip olmak anlamına gelir."
480.2,488.2,"And since I visited in October, I was lucky that it wasn't too crowded in the city.",Ekim ayında ziyaret ettiğim için şehirde çok kalabalık olmadığı için şanslıydım.
488.2,496.2,October is not peak season for tourism in Europe. That means it's not the busiest time of year.,Ekim Avrupa'da turizm için zirve sezonu değildir. Bu demek oluyor ki yılın en yoğun zamanı değil.
496.2,504.2,"All in all, Bratislava is a pretty cool place, and especially if you're in Central Europe, it's definitely worth a visit.",Sonuçta Bratislava çok güzel bir yer ve özellikle Orta Avrupa'daysanız kesinlikle ziyaret etmeye değer.
504.2,510.2,"If you found this video useful, make sure to leave a like and let me know in the comments.","Eğer bu videoyu faydalı bulduysanız, bunun gibi bir şey bırakın ve yorumlarda bana bildirin."
510.2,518.2,And of course don't forget to subscribe to English out the ready here on YouTube so you don't miss any future lessons.,Ve tabii ki gelecek derslerini kaçırmamak için YouTube'da İngilizce'ye hazır olmayı unutmayın.
518.2,529.2,"If you want to improve your English with me this year, then click the link in the description below to learn more about how I can help you start speaking English confidently and fluently.","Eğer bu yıl benimle İngilizcenizi geliştirmek istiyorsanız, o zaman aşağıdaki tanımdaki linki tıklayarak İngilizceyi güvenle ve akıcı bir şekilde konuşmaya başlamanıza nasıl yardım edebileceğimi öğrenebilirsiniz."
529.2,531.2,I'll see you in the next lesson.,Bir sonraki derste görüşürüz.
